X	Y p0=(0.5, 60.0,-0.1)
1097.305	0.463211
1099.025	0.458877
1100.745	0.455469
1102.465	0.452256
1104.185	0.449874
1105.905	0.447683
1107.625	0.446450
1109.344	0.445926
1111.064	0.446610
1112.784	0.447545
1114.504	0.449745
1116.224	0.453348
1117.944	0.458493
1119.664	0.465197
1121.384	0.473490
1123.104	0.483602
1124.824	0.495944
1126.544	0.511079
1128.264	0.529456
1129.984	0.549829
1131.703	0.573661
1133.423	0.598735
1135.143	0.625103
1136.863	0.655147
1138.583	0.686191
1140.303	0.716193
1142.023	0.745406
1143.743	0.773522
1145.463	0.800485
1147.183	0.825507
1148.903	0.848347
1150.622	0.868979
1152.342	0.888399
1154.062	0.905016
1155.782	0.919456
1157.502	0.932638
1159.222	0.944471
1160.942	0.953729
1162.662	0.960675
1164.382	0.965419
1166.102	0.968751
1167.822	0.970611
1169.542	0.970709
1171.261	0.968772
1172.981	0.964726
1174.701	0.960475
1176.421	0.954731
1178.141	0.946975
1179.861	0.937068
1181.581	0.925189
1183.301	0.911570
1185.021	0.895234
1186.741	0.874963
1188.461	0.850215
1190.181	0.821786
1191.900	0.790253
1193.620	0.754912
1195.340	0.718826
1197.060	0.681538
1198.780	0.645485
1200.500	0.613350
1202.220	0.585495
1203.940	0.560918
1205.660	0.538660
1207.380	0.519190
1209.099	0.502613
1210.819	0.489292
1212.539	0.477533
1214.259	0.467586
1215.979	0.459062
1217.699	0.452588
1219.419	0.447080
1221.139	0.442517
1222.859	0.437996
1224.579	0.434231
1226.299	0.431135
1228.019	0.429048
1229.739	0.427513
1231.458	0.426892
1233.178	0.426947
1234.898	0.427855
1236.618	0.430011
1238.338	0.433271
1240.058	0.438102
1241.778	0.444615
1243.498	0.452918
1245.218	0.463184
1246.938	0.476002
1248.658	0.491452
1250.377	0.508551
1252.097	0.527659
1253.817	0.549751
1255.537	0.574039
1257.257	0.598829
1258.977	0.626416
1260.697	0.657227
1262.417	0.690150
1264.137	0.722123
1265.857	0.753404
1267.577	0.782912
1269.297	0.810378
1271.016	0.836032
1272.736	0.858846
1274.456	0.879135
1276.176	0.897785
1277.896	0.914384
1279.616	0.928259
1281.336	0.939576
1283.056	0.948589
1284.776	0.956004
1286.496	0.962496
1288.216	0.967109
1289.936	0.968864
1291.655	0.968773
1293.375	0.966681
1295.095	0.963124
1296.815	0.958263
1298.535	0.952198
1300.255	0.944060
1301.975	0.933832
1303.695	0.921095
1305.415	0.906572
1307.135	0.891212
1308.855	0.874314
1310.574	0.854870
1312.294	0.832038
1314.014	0.805402
1315.734	0.775613
1317.454	0.744669
1319.174	0.712577
1320.894	0.679988
1322.614	0.647488
1324.334	0.618234
1326.054	0.591854
1327.774	0.567295
1329.494	0.545770
1331.214	0.526181
1332.933	0.508538
1334.653	0.492968
1336.373	0.479743
1338.093	0.468868
1339.813	0.459587
1341.533	0.451937
1343.253	0.445812
1344.973	0.441198
1346.693	0.437915
1348.413	0.435928
1350.132	0.434643
1351.852	0.433902
1353.572	0.433708
1355.292	0.433832
1357.012	0.434833
1358.732	0.436374
1360.452	0.438810
1362.172	0.442356
1363.892	0.447054
1365.612	0.453295
1367.332	0.461214
1369.052	0.471357
1370.771	0.483733
1372.491	0.498521
1374.211	0.516433
1375.931	0.537843
1377.651	0.561905
1379.371	0.588677
1381.091	0.617744
1382.811	0.648374
1384.531	0.679731
1386.251	0.710560
1387.971	0.738569
1389.691	0.766870
1391.410	0.796697
1393.130	0.825147
1394.850	0.850089
1396.570	0.871174
1398.290	0.889778
1400.010	0.906273
1401.730	0.920186
1403.450	0.931593
1405.170	0.940814
1406.890	0.948287
1408.610	0.954647
1410.329	0.959984
1412.049	0.964477
1413.769	0.967707
1415.489	0.969621
1417.209	0.969932
1418.929	0.968760
1420.649	0.966847
1422.369	0.963606
1424.089	0.958767
1425.809	0.950816
1427.529	0.939468
1429.249	0.924714
1430.969	0.907249
1432.688	0.886641
1434.408	0.862595
1436.128	0.835191
1437.848	0.805747
1439.568	0.774323
1441.288	0.742936
1443.008	0.709309
1444.728	0.676725
1446.448	0.645308
1448.168	0.615525
1449.887	0.588888
1451.607	0.564212
1453.327	0.541645
1455.047	0.522892
1456.767	0.506686
1458.487	0.491385
1460.207	0.478877
1461.927	0.468227
1463.647	0.458789
1465.367	0.450934
1467.087	0.444572
1468.807	0.439205
1470.526	0.435443
1472.246	0.433049
1473.966	0.431624
1475.686	0.430970
1477.406	0.431022
1479.126	0.432054
1480.846	0.433671
1482.566	0.436260
1484.286	0.439922
1486.006	0.445495
1487.726	0.452280
1489.446	0.460736
1491.165	0.470883
1492.885	0.482954
1494.605	0.496396
1496.325	0.512211
1498.045	0.530920
1499.765	0.553223
1501.485	0.578994
1503.205	0.607436
1504.925	0.638409
1506.645	0.670160
1508.365	0.703683
1510.084	0.738347
1511.804	0.770975
1513.524	0.801516
1515.244	0.828969
1516.964	0.853260
1518.684	0.876042
1520.404	0.896185
1522.124	0.912203
1523.844	0.925124
1525.564	0.935540
1527.284	0.945074
1529.004	0.952328
1530.724	0.957280
1532.443	0.960341
1534.163	0.962234
1535.883	0.963154
1537.603	0.962715
1539.323	0.960533
1541.043	0.956722
1542.763	0.951751
1544.483	0.946918
1546.203	0.941006
1547.923	0.933347
1549.643	0.923795
1551.362	0.911788
1553.082	0.898029
1554.802	0.881151
1556.522	0.861328
1558.242	0.838223
1559.962	0.812591
1561.682	0.784886
1563.402	0.755854
1565.122	0.725657
1566.842	0.694574
1568.562	0.664152
1570.281	0.634330
1572.001	0.605273
1573.721	0.577055
1575.441	0.551986
1577.161	0.530505
1578.881	0.511680
1580.601	0.494645
1582.321	0.479678
1584.041	0.467056
1585.761	0.456363
1587.481	0.448108
1589.201	0.441622
1590.920	0.436890
1592.640	0.433374
1594.360	0.430872
1596.080	0.429265
1597.800	0.428389
1599.520	0.428043
1601.240	0.428421
1602.960	0.429903
1604.680	0.432453
1606.400	0.436125
1608.120	0.441050
1609.839	0.447735
1611.559	0.455870
1613.279	0.465126
1614.999	0.476431
1616.719	0.489821
1618.439	0.506345
1620.159	0.525454
1621.879	0.544905
1623.599	0.565696
1625.319	0.588329
1627.039	0.613406
1628.759	0.640551
1630.479	0.669885
1632.198	0.701594
1633.918	0.735968
1635.638	0.770329
1637.358	0.802681
1639.078	0.832142
1640.798	0.858124
1642.518	0.881850
1644.238	0.902920
1645.958	0.921175
1647.678	0.936394
1649.398	0.948461
1651.117	0.958113
1652.837	0.965845
1654.557	0.972065
1656.277	0.976396
1657.997	0.979646
1659.717	0.981421
1661.437	0.982302
1663.157	0.981331
1664.877	0.978308
1666.597	0.973370
1668.317	0.967305
1670.036	0.959472
1671.756	0.949691
1673.476	0.937973
1675.196	0.923764
1676.916	0.906565
1678.636	0.886130
1680.356	0.863233
1682.076	0.838097
1683.796	0.810560
1685.516	0.780628
1687.236	0.748745
1688.956	0.713922
1690.675	0.679205
1692.395	0.647375
1694.115	0.618189
1695.835	0.590917
1697.555	0.565884
1699.275	0.542893
1700.995	0.522519
1702.715	0.504270
1704.435	0.489088
1706.155	0.475223
1707.875	0.462681
1709.594	0.451637
1711.314	0.441873
1713.034	0.433664
1714.754	0.427095
1716.474	0.422244
1718.194	0.418585
1719.914	0.416237
1721.634	0.415319
1723.354	0.415356
1725.074	0.416510
1726.794	0.418347
1728.514	0.421161
1730.234	0.425251
1731.953	0.430674
1733.673	0.437189
1735.393	0.445108
1737.113	0.454075
1738.833	0.464171
1740.553	0.475509
1742.273	0.488739
1743.993	0.504143
1745.713	0.523216
1747.433	0.546375
1749.153	0.573106
1750.872	0.602466
1752.592	0.633911
1754.312	0.669620
1756.032	0.707571
1757.752	0.744136
1759.472	0.780867
1761.192	0.814666
1762.912	0.844446
1764.632	0.872346
1766.352	0.896666
1768.072	0.918096
1769.792	0.935085
1771.511	0.949108
1773.231	0.959582
